pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.48-PQU-6,10.0.48,PQU-6,6,2026-09-16,2026-09-16,2026-10-10,In-Progress,10.0.2645.136,7.0.7996.119,10.0.48.7,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-7,10.0.48,PQU-7,7,2026-09-30,2026-09-30,2026-10-24,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-8,10.0.48,PQU-8,8,2026-10-14,2026-10-14,2026-11-07,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-9,10.0.48,PQU-9,9,2026-10-28,2026-10-28,2026-11-21,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-10,10.0.48,PQU-10,10,2026-11-11,2026-11-11,2026-12-05,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-11,10.0.48,PQU-11,11,2026-11-25,2026-11-25,2026-12-19,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-12,10.0.48,PQU-12,12,2026-12-09,2026-12-09,2027-01-02,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-13,10.0.48,PQU-13,13,2026-12-23,2026-12-23,2027-01-16,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-14,10.0.48,PQU-14,14,2027-01-06,2027-01-06,2027-01-30,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-15,10.0.48,PQU-15,15,2027-01-20,2027-01-20,2027-02-13,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
